"","system.index","SiteID","blue","blue_sd","date_unity","green","green_sd","nir","nir_sd","path","pixelCount","qa","qa_sd","red","red_sd","row","sat","swir1","swir1_sd","swir2","swir2_sd",".geo","endtime","date","date_only","chl_a","doc","p_sand","secchi","tis","tss","source","lat","long","TZID","date_utc","clouds","time","landsat_id","timediff","pwater","type","id"
"1",0,"NARS_WQX-NLA06608-2379",536,21.7321662136991,"2007-07-31T12:00:00Z",610,29.8314888098026,523,27.6217110863872,34,128,68,0.302576823922454,475,36.1521173091909,31,5,160,44.1306542942375,114,43.807455994198,"{""type"":""Point"",""coordinates"":[-105.722934485,41.2477740451]}","00:00:00","2007-07-31",TRUE,1.416,NA,NA,5.05,NA,NA,"WQP",41.2477740451,-105.722934485,"America/Denver","2007-07-31T18:00:00Z",1,"2007-07-31T17:36:35Z","LT05_L1TP_034031_20070731_20160908_01_T1",0.390062777797381,95,"Lake","New"
"2",1,"NARS_WQX-NLA06608-1259",260,30.0959111380766,"2007-06-21T12:00:00Z",237,61.7296183251593,233,88.2979271977946,34,67,68,0.413624073449206,182,67.4935241895807,31,7,98,41.889803351899,85,33.4424826167732,"{""type"":""Point"",""coordinates"":[-106.250250955,41.3719688817]}","00:00:00","2007-06-21",TRUE,3.008,NA,NA,3.8,NA,NA,"WQP",41.3719688817,-106.250250955,"America/Denver","2007-06-21T18:00:00Z",21,"2007-06-21T17:33:20Z","LE07_L1TP_034031_20070621_20160922_01_T1",0.444337271385723,94,"Lake","New"
"3",2,"NARS_WQX-NLA06608-2027",585,23.7554727422352,"2007-06-20T12:00:00Z",721,22.8149878071209,545,29.53542527464,34,52,68,0,697,24.2546509295846,31,7,359,28.4593749177676,309,36.2421589152775,"{""type"":""Point"",""coordinates"":[-105.630373078,42.2397974366]}","00:00:00","2007-06-21",TRUE,3.952,NA,NA,1.13,NA,NA,"WQP",42.2397974366,-105.630373078,"America/Denver","2007-06-20T18:00:00Z",21,"2007-06-21T17:33:20Z","LE07_L1TP_034031_20070621_20160922_01_T1",-23.5556627286143,83,"Lake","New"
"4",0,"NARS_WQX-NLA06608-0042",198,23.0470100493847,"2007-07-06T12:00:00Z",179,19.8559376415568,179,34.880258229433,35,124,68,0,155,26.0210970098144,29,5,82,28.5751958596667,53,35.1613643088893,"{""type"":""Point"",""coordinates"":[-107.040375306,44.4582351712]}","00:00:00","2007-07-06",TRUE,1.276,NA,NA,4.8,NA,NA,"WQP",44.4582351712,-107.040375306,"America/Denver","2007-07-06T18:00:00Z",1,"2007-07-06T17:42:12Z","LT05_L1TP_035029_20070706_20160907_01_T1",0.296496665014161,93,"Lake","New"
"5",0,"NARS_WQX-NLA06608-1259",409,48.4905902598639,"2007-06-21T12:00:00Z",438,60.6644652473753,426,86.873535059591,35,80,68,0.565132727772737,394,58.1967782613436,31,5,187,42.8012193167437,144,38.4445196842151,"{""type"":""Point"",""coordinates"":[-106.250250955,41.3719688817]}","00:00:00","2007-06-20",TRUE,3.008,NA,NA,3.8,NA,NA,"WQP",41.3719688817,-106.250250955,"America/Denver","2007-06-21T18:00:00Z",18,"2007-06-20T17:43:13Z","LT05_L1TP_035031_20070620_20160910_01_T1",24.2796752533648,94,"Lake","New"
"6",38,"NARS_WQX-NLA06608-2027",487,62.8474484378477,"2007-06-20T12:00:00Z",647,64.0502847713414,502,69.4369898694506,35,52,68,0,628,66.7397023504185,31,5,350,71.5396686209165,242,68.7804451147091,"{""type"":""Point"",""coordinates"":[-105.630373078,42.2397974366]}","00:00:00","2007-06-20",TRUE,3.952,NA,NA,1.13,NA,NA,"WQP",42.2397974366,-105.630373078,"America/Denver","2007-06-20T18:00:00Z",18,"2007-06-20T17:43:13Z","LT05_L1TP_035031_20070620_20160910_01_T1",0.279675253364775,83,"Lake","New"
"7",2,"UTAHDWQ_WQX-4938640",328,23.5706969583429,"2007-08-30T17:07:00Z",316.563014460512,39.9062447161711,200,33.0375319963245,36,140,68,0,208,33.4079728966189,31,5,92,61.1732547101814,96,57.4018750138185,"{""type"":""Point"",""coordinates"":[-109.534583513,41.204958884]}","17:07:00","2007-08-30",FALSE,NA,NA,NA,4.85,NA,NA,"WQP",41.204958884,-109.534583513,"UTC","2007-08-30T17:07:00Z",1,"2007-08-30T17:48:36Z","LT05_L1TP_036031_20070830_20160908_01_T1",-0.693583911392424,95,"Lake","New"
"8",3,"UTAHDWQ_WQX-4938640",218,9.91699222011792,"2017-06-06T22:01:18Z",237,10.8876544952605,122,17.7764390616987,36,140,324,0,171,13.0892910738637,31,8,117,22.5962070141998,102,23.2860911450661,"{""type"":""Point"",""coordinates"":[-109.534583513,41.204958884]}","22:01:18","2017-06-06",FALSE,NA,NA,NA,5.7,NA,NA,"WQP",41.204958884,-109.534583513,"UTC","2017-06-06T22:01:18Z",2.6,"2017-06-06T17:55:05Z","LC08_L1TP_036031_20170606_20170616_01_T1",4.10349590665764,95,"Lake","New"
"9",6,"UTAHDWQ_WQX-4938640",415,21.7705790516673,"1995-07-11T21:00:00Z",426,21.9924047649854,283,28.9108199503937,36,140,68,0,328,23.505075439755,31,5,81,52.5806300177282,54,46.4854267266547,"{""type"":""Point"",""coordinates"":[-109.534583513,41.204958884]}","21:00:00","1995-07-12",FALSE,NA,NA,NA,2.9,NA,NA,"WQP",41.204958884,-109.534583513,"UTC","1995-07-11T21:00:00Z",5,"1995-07-12T17:00:23Z","LT05_L1TP_036031_19950712_20160926_01_T1",-20.006427783072,95,"Lake","New"
"10",8,"UTAHDWQ_WQX-4938640",262,26.4632822250463,"1999-09-24T16:12:00Z",271,30.349498197109,151,26.265258927538,36,140,68,0,188,23.1774201783212,31,5,78,49.2238970502776,68,51.3634230215413,"{""type"":""Point"",""coordinates"":[-109.534583513,41.204958884]}","16:12:00","1999-09-25",FALSE,NA,NA,NA,5.01,NA,NA,"WQP",41.204958884,-109.534583513,"UTC","1999-09-24T16:12:00Z",0,"1999-09-25T17:31:57Z","LT05_L1TP_036031_19990925_20160919_01_T1",-25.3326058386101,95,"Lake","New"
"11",10,"UTAHDWQ_WQX-4938640",330,28.1050483658951,"2009-10-15T22:10:00Z",297,26.5089374083527,154,38.1886509122679,36,83,68,0,198.756941594857,35.6668428014674,31,7,87,34.333227400021,61,45.3683845634611,"{""type"":""Point"",""coordinates"":[-109.534583513,41.204958884]}","22:10:00","2009-10-14",FALSE,6,NA,NA,3.6,NA,NA,"WQP",41.204958884,-109.534583513,"UTC","2009-10-15T22:10:00Z",41,"2009-10-14T17:45:34Z","LE07_L1TP_036031_20091014_20160916_01_T1",28.4071749844154,95,"Lake","New"
"12",12,"UTAHDWQ_WQX-4938640",190,8.05649693459527,"2015-09-22T12:00:00Z",210,17.1653186182287,45,21.4661515709106,36,140,324,0,104,15.0479098826626,31,8,32.38662859862,30.3015953981547,27,28.0119872299598,"{""type"":""Point"",""coordinates"":[-109.534583513,41.204958884]}","00:00:00","2015-09-21",TRUE,NA,NA,NA,5.92,NA,NA,"WQP",41.204958884,-109.534583513,"America/Denver","2015-09-22T18:00:00Z",0.13,"2015-09-21T17:55:25Z","LC08_L1TP_036031_20150921_20170225_01_T1",24.0763505988651,95,"Lake","New"
"13",15,"UC_REGION_USBOR_WQX-FG-Upper",375,18.6466158053343,"2009-09-11T18:00:00Z",372,15.3708966169812,259,20.2039191026749,36,22,68,0,312,23.2567416689839,31,7,126,28.0150859595739,78,36.7962897878137,"{""type"":""Point"",""coordinates"":[-109.587,41.2467]}","18:00:00","2009-09-12",FALSE,NA,NA,NA,0.92,NA,NA,"WQP",41.2467,-109.587,"UTC","2009-09-11T18:00:00Z",10,"2009-09-12T17:45:36Z","LE07_L1TP_036031_20090912_20160916_01_T1",-23.760030804144,82,"Lake","New"
"14",16,"UC_REGION_USBOR_WQX-FG-Upper",362,30.9252373201026,"2009-10-15T18:00:00Z",318,48.5344659659532,168,35.2991740490745,36,47,68,0,219,43.3158151958865,31,7,82,32.0287331390367,59,37.8593212142888,"{""type"":""Point"",""coordinates"":[-109.587,41.2467]}","18:00:00","2009-10-14",FALSE,NA,NA,NA,1.32,NA,NA,"WQP",41.2467,-109.587,"UTC","2009-10-15T18:00:00Z",41,"2009-10-14T17:45:34Z","LE07_L1TP_036031_20091014_20160916_01_T1",24.2405083177487,82,"Lake","New"
"15",19,"UC_REGION_USBOR_WQX-FGGR1054",258,15.0706507294246,"2016-07-06T01:05:00Z",266,22.7256835615369,92,4.35005866404393,36,136,324,0,173,15.431633956166,31,8,68,3.65215488364303,57,3.40407824563744,"{""type"":""Point"",""coordinates"":[-109.529815,41.285701]}","01:05:00","2016-07-05",FALSE,NA,NA,NA,4.7,NA,NA,"WQP",41.285701,-109.529815,"UTC","2016-07-06T01:05:00Z",19.76,"2016-07-05T17:55:19Z","LC08_L1TP_036031_20160705_20170221_01_T1",7.16120541307661,96,"Lake","New"
"16",20,"UC_REGION_USBOR_WQX-FGBF-015",228,17.1129739540216,"2008-07-23T14:50:00Z",218,14.3632183307337,123,18.1262240965955,36,35,68,0,157,18.5695383653455,31,7,78,17.09364364497,64,25.4970826662541,"{""type"":""Point"",""coordinates"":[-109.553,41.2948]}","14:50:00","2008-07-23",FALSE,NA,NA,NA,4.44,NA,NA,"WQP",41.2948,-109.553,"UTC","2008-07-23T14:50:00Z",2,"2008-07-23T17:44:44Z","LE07_L1TP_036031_20080723_20160918_01_T1",-2.91228354831537,94,"Lake","New"
"17",25,"UC_REGION_USBOR_WQX-FGBF-015",303,10.2017842840711,"2016-07-06T01:35:00Z",333,11.5529991165742,129,13.3133603757521,36,137,324,0,233,12.1610658766588,31,8,107,12.3984242062542,93,10.6635765721366,"{""type"":""Point"",""coordinates"":[-109.553,41.2948]}","01:35:00","2016-07-05",FALSE,NA,NA,NA,2.6,NA,NA,"WQP",41.2948,-109.553,"UTC","2016-07-06T01:35:00Z",19.76,"2016-07-05T17:55:19Z","LC08_L1TP_036031_20160705_20170221_01_T1",7.66120541307661,94,"Lake","New"
"18",28,"UTAHDWQ_WQX-4938680",183,3.58442151646373,"2015-06-17T01:37:40Z",204,8.04928747380046,61,4.22912017542302,36,106,324,0,145,4.91461446974841,31,8,53,8.26934014731852,50,8.37426107110389,"{""type"":""Point"",""coordinates"":[-109.551810584,41.29607117399999]}","01:37:40","2015-06-17",FALSE,NA,NA,NA,2.4,NA,NA,"WQP",41.296071174,-109.551810584,"UTC","2015-06-17T01:37:40Z",1.45,"2015-06-17T17:54:44Z","LC08_L1TP_036031_20150617_20170226_01_T1",-16.2845974124802,94,"Lake","New"
"19",31,"UTAHDWQ_WQX-4938680",491,23.8389039770423,"1995-07-11T23:00:00Z",546,23.6854911705457,320,22.2687015656442,36,106,68,0,456,16.7440259958697,31,5,106,33.0314167528738,89,35.791204561438,"{""type"":""Point"",""coordinates"":[-109.551810584,41.29607117399999]}","23:00:00","1995-07-12",FALSE,NA,NA,NA,1.6,NA,NA,"WQP",41.296071174,-109.551810584,"UTC","1995-07-11T23:00:00Z",5,"1995-07-12T17:00:23Z","LT05_L1TP_036031_19950712_20160926_01_T1",-18.006427783072,94,"Lake","New"
"20",33,"UTAHDWQ_WQX-4938680",251,23.6894456718737,"2010-08-05T12:00:00Z",293,24.1943908277477,184,27.2090076937693,36,106,68,0,207,20.5972348633419,31,5,86,38.4786711642627,90,31.4998742700933,"{""type"":""Point"",""coordinates"":[-109.551810584,41.29607117399999]}","00:00:00","2010-08-06",TRUE,NA,NA,NA,5.1,NA,NA,"WQP",41.296071174,-109.551810584,"America/Denver","2010-08-05T18:00:00Z",11,"2010-08-06T17:45:48Z","LT05_L1TP_036031_20100806_20160831_01_T1",-23.7635864063766,94,"Lake","New"
"21",35,"UTAHDWQ_WQX-4938680",217,1.98761293957883,"2015-09-22T12:00:00Z",246,3.56129264014898,44,3.28751589638086,36,106,324,0,131,2.77075969574443,31,8,35,6.73141469174385,32,7.04883665973379,"{""type"":""Point"",""coordinates"":[-109.551810584,41.29607117399999]}","00:00:00","2015-09-21",TRUE,NA,NA,NA,4,NA,NA,"WQP",41.296071174,-109.551810584,"America/Denver","2015-09-22T18:00:00Z",0.13,"2015-09-21T17:55:25Z","LC08_L1TP_036031_20150921_20170225_01_T1",24.0763505988651,94,"Lake","New"
"22",41,"UTAHDWQ_WQX-4938660",212,6.22263182443715,"2015-06-17T01:01:37Z",287,14.3409897954301,70,6.23264573836242,36,74,324,0,172,6.7226707795724,31,8,68,9.91273096619599,60,11.3134179564927,"{""type"":""Point"",""coordinates"":[-109.533193016,41.30662625]}","01:01:37","2015-06-17",FALSE,NA,NA,NA,2.1,NA,NA,"WQP",41.30662625,-109.533193016,"UTC","2015-06-17T01:01:37Z",1.45,"2015-06-17T17:54:44Z","LC08_L1TP_036031_20150617_20170226_01_T1",-16.8854307458136,93,"Lake","New"
"23",44,"UTAHDWQ_WQX-4938660",548,21.0454307011434,"1995-07-11T22:00:00Z",624,22.1530963659155,358,35.696607802695,36,74,68,0,520,32.4912642077435,31,5,158,39.5577658255289,89,37.5307714022146,"{""type"":""Point"",""coordinates"":[-109.533193016,41.30662625]}","22:00:00","1995-07-12",FALSE,NA,NA,NA,1.3,NA,NA,"WQP",41.30662625,-109.533193016,"UTC","1995-07-11T22:00:00Z",5,"1995-07-12T17:00:23Z","LT05_L1TP_036031_19950712_20160926_01_T1",-19.006427783072,93,"Lake","New"
"24",47,"UTAHDWQ_WQX-4938660",215,2.54671475165511,"2015-09-22T12:00:00Z",244,3.51901855631734,50,4.44691109215204,36,74,324,0,134,3.16842184772078,31,8,45,9.29208095337743,41,10.2088848283025,"{""type"":""Point"",""coordinates"":[-109.533193016,41.30662625]}","00:00:00","2015-09-21",TRUE,NA,NA,NA,3.6,NA,NA,"WQP",41.30662625,-109.533193016,"America/Denver","2015-09-22T18:00:00Z",0.13,"2015-09-21T17:55:25Z","LC08_L1TP_036031_20150921_20170225_01_T1",24.0763505988651,93,"Lake","New"
"25",49,"UC_REGION_USBOR_WQX-FGBF-INF",941.5,98.987237966949,"2014-05-29T22:30:00Z",1481.63008442057,98.2664754807175,1002.8,193.802291092093,36,104,322,0.772828126827031,1560.75,116.390776169621,31,8,883.187898089172,181.049823146941,829.061280072628,172.683894561214,"{""type"":""Point"",""coordinates"":[-109.569,41.3381]}","22:30:00","2014-05-29",FALSE,NA,NA,NA,0.4,NA,NA,"WQP",41.3381,-109.569,"UTC","2014-05-29T22:30:00Z",86.45,"2014-05-29T17:55:01Z","LC08_L1TP_036031_20140529_20170306_01_T1",4.58304721666707,88,"Lake","New"
"26",51,"UC_REGION_USBOR_WQX-FGBF-INF",1662.1974822974,352.650348586704,"2013-09-24T18:40:00Z",2143,514.515110490927,2729,766.451844432955,36,102,66,5.51343122523827,2352,599.478712098379,31,7,1289,1099.3771722475,575,590.378134988249,"{""type"":""Point"",""coordinates"":[-109.569,41.3381]}","18:40:00","2013-09-23",FALSE,NA,NA,NA,0.15,NA,NA,"WQP",41.3381,-109.569,"UTC","2013-09-24T18:40:00Z",26,"2013-09-23T17:51:09Z","LE07_L1TP_036031_20130923_20160910_01_T1",24.8140236155854,88,"Lake","New"
"27",52,"UC_REGION_USBOR_WQX-FGBF-INF",397,14.6592837680329,"2016-07-06T02:15:00Z",680,42.7321615348188,143,8.2554390802842,36,104,324,0,609,45.6324029416033,31,8,109,10.3112795135764,95,7.44659859407647,"{""type"":""Point"",""coordinates"":[-109.569,41.3381]}","02:15:00","2016-07-05",FALSE,NA,NA,NA,0.48,NA,NA,"WQP",41.3381,-109.569,"UTC","2016-07-06T02:15:00Z",19.76,"2016-07-05T17:55:19Z","LC08_L1TP_036031_20160705_20170221_01_T1",8.32787207974328,88,"Lake","New"
"28",53,"UC_REGION_USBOR_WQX-FGGR1198",475,6.41685799141517,"2016-07-05T23:50:00Z",668,10.1321462588937,181,14.4371558190678,36,95,324,0,488,10.8622398632903,31,8,144,15.6590260537783,123,12.7074475948843,"{""type"":""Point"",""coordinates"":[-109.450984,41.353587]}","23:50:00","2016-07-05",FALSE,NA,NA,NA,1.51,NA,NA,"WQP",41.353587,-109.450984,"UTC","2016-07-05T23:50:00Z",19.76,"2016-07-05T17:55:19Z","LC08_L1TP_036031_20160705_20170221_01_T1",5.91120541307661,96,"Lake","New"
"29",64,"UC_REGION_USBOR_WQX-FGGR-INF",820,31.4770909747992,"2016-07-06T00:15:00Z",1302,50.6195627801581,292,41.656080287796,36,21,324,0,1167,65.8055611790233,31,8,205,55.1616466055522,179,51.2170695043828,"{""type"":""Point"",""coordinates"":[-109.417,41.4043]}","00:15:00","2016-07-05",FALSE,NA,NA,NA,0.48,NA,NA,"WQP",41.4043,-109.417,"UTC","2016-07-06T00:15:00Z",19.76,"2016-07-05T17:55:19Z","LC08_L1TP_036031_20160705_20170221_01_T1",6.32787207974328,75,"Lake","New"
"30",627,"UC_REGION_USBOR_WQX-FGGR0634",295,18.7513870198859,"2008-07-23T19:00:00Z",241,13.4495382321061,149,19.02993804176,36,123,68,0,158,19.1756787648038,32,7,65,15.8998867388383,69,26.619899998814,"{""type"":""Point"",""coordinates"":[-109.53104399999998,41.072934]}","19:00:00","2008-07-23",FALSE,NA,NA,NA,3.59799558229038,NA,NA,"WQP",41.072934,-109.531044,"UTC","2008-07-23T19:00:00Z",14,"2008-07-23T17:45:08Z","LE07_L1TP_036032_20080723_20160918_01_T1",1.24774877693918,96,"Lake","New"
"31",630,"UC_REGION_USBOR_WQX-FGGR0634",294,23.8673697749771,"2010-08-05T00:20:00Z",339,19.3251866137909,138,34.2062082248695,36,137,68,0,200,20.6152244555875,32,5,57,21.542012153044,53,26.9320514158865,"{""type"":""Point"",""coordinates"":[-109.53104399999998,41.072934]}","00:20:00","2010-08-06",FALSE,NA,NA,NA,3.47316480839027,NA,NA,"WQP",41.072934,-109.531044,"UTC","2010-08-05T00:20:00Z",11,"2010-08-06T17:46:12Z","LT05_L1TP_036032_20100806_20160901_01_T1",-41.4369122413794,96,"Lake","New"
"32",631,"UC_REGION_USBOR_WQX-FGGR0634",328,22.1616535684704,"2009-10-15T22:50:00Z",271,22.3507394856535,116,12.9743336373524,36,6,68,0,173,21.6846079563875,32,7,55,21.3027123990246,28,16,"{""type"":""Point"",""coordinates"":[-109.53104399999998,41.072934]}","22:50:00","2009-10-14",FALSE,NA,NA,NA,5.11,NA,NA,"WQP",41.072934,-109.531044,"UTC","2009-10-15T22:50:00Z",62,"2009-10-14T17:45:58Z","LE07_L1TP_036032_20091014_20160918_01_T1",29.0672059383657,96,"Lake","New"
"33",634,"UC_REGION_USBOR_WQX-FGGR0743",247,28.450478435216,"2008-07-23T18:10:00Z",215,46.8491893913572,133,68.9853050965857,36,61,68,0,154,65.3007101536691,32,7,82,44.7768212296302,89,55.3895782155743,"{""type"":""Point"",""coordinates"":[-109.54666699999999,41.136504]}","18:10:00","2008-07-23",FALSE,NA,NA,NA,3.19853710581005,NA,NA,"WQP",41.136504,-109.546667,"UTC","2008-07-23T18:10:00Z",14,"2008-07-23T17:45:08Z","LE07_L1TP_036032_20080723_20160918_01_T1",0.414415443605847,96,"Lake","New"
"34",637,"UC_REGION_USBOR_WQX-FGGR0743",332,27.375759756073,"2009-10-15T21:50:00Z",275,31.0598883878656,153,42.4771964967348,36,30,68,0,177,20.9321921132658,32,7,86,37.6295392241551,61,35.8708330913385,"{""type"":""Point"",""coordinates"":[-109.54666699999999,41.136504]}","21:50:00","2009-10-14",FALSE,NA,NA,NA,5.64,NA,NA,"WQP",41.136504,-109.546667,"UTC","2009-10-15T21:50:00Z",62,"2009-10-14T17:45:58Z","LE07_L1TP_036032_20091014_20160918_01_T1",28.0672059383657,96,"Lake","New"
"35",638,"UC_REGION_USBOR_WQX-FGGR0743",551,55.0935256275817,"2013-09-24T15:50:00Z",533,86.4970391004974,290,138.424049506543,36,31,68,0,339,137.004720518414,32,7,232,113.435620324379,187,126.583571700081,"{""type"":""Point"",""coordinates"":[-109.54666699999999,41.136504]}","15:50:00","2013-09-23",FALSE,NA,NA,NA,2.92390940322982,NA,NA,"WQP",41.136504,-109.546667,"UTC","2013-09-24T15:50:00Z",23,"2013-09-23T17:51:33Z","LE07_L1TP_036032_20130923_20160907_01_T1",21.9740558794472,96,"Lake","New"
"36",640,"UC_REGION_USBOR_WQX-FGGR0829",235,21.8738044156911,"2008-07-23T17:10:00Z",206,15.3567436248687,127,18.8355324838619,36,135,68,0,129,18.4893548136925,32,7,57,18.737484712024,42,26.4228815500912,"{""type"":""Point"",""coordinates"":[-109.54372899999998,41.191883]}","17:10:00","2008-07-23",FALSE,NA,NA,NA,4.24859265720053,NA,NA,"WQP",41.191883,-109.543729,"UTC","2008-07-23T17:10:00Z",14,"2008-07-23T17:45:08Z","LE07_L1TP_036032_20080723_20160918_01_T1",-0.585584556394153,97,"Lake","New"
"37",643,"UC_REGION_USBOR_WQX-FGGR0829",354,24.0572296257312,"2009-10-15T21:10:00Z",292,22.0048638013413,131,20.900769177228,36,58,68,0,191,22.8422705140149,32,7,59,18.2038268049558,31,34.6583289006823,"{""type"":""Point"",""coordinates"":[-109.54372899999998,41.191883]}","21:10:00","2009-10-14",FALSE,NA,NA,NA,4.27,NA,NA,"WQP",41.191883,-109.543729,"UTC","2009-10-15T21:10:00Z",62,"2009-10-14T17:45:58Z","LE07_L1TP_036032_20091014_20160918_01_T1",27.4005392716991,97,"Lake","New"
"38",4,"11NPSWRD_WQX-YELL_YL006.0M",132,20.5943877542724,"2005-09-07T17:18:00Z",100,18.1911309235136,21,22.4745380914461,37,138,68,0,40,19.3283025851562,29,7,12,19.6020493358284,19,26.9849828324331,"{""type"":""Point"",""coordinates"":[-110.24850881,44.33906728]}","17:18:00","2005-09-08",FALSE,NA,NA,NA,11.09,NA,NA,"WQP",44.33906728,-110.24850881,"UTC","2005-09-07T17:18:00Z",0,"2005-09-08T17:49:56Z","LE07_L1TP_037029_20050908_20160925_01_T1",-24.5323661049869,97,"Lake","New"
"39",6,"11NPSWRD_WQX-YELL_YL006.0M",231,18.8660488386351,"2005-08-08T19:58:00Z",213,15.6371992914434,43,20.4522435422259,37,138,68,0,85,19.1663146182841,29,7,6,16.7276389440316,16,25.2101522176527,"{""type"":""Point"",""coordinates"":[-110.24850881,44.33906728]}","19:58:00","2005-08-07",FALSE,NA,NA,NA,6,NA,0.5699,"WQP",44.33906728,-110.24850881,"UTC","2005-08-08T19:58:00Z",12,"2005-08-07T17:50:11Z","LE07_L1TP_037029_20050807_20160924_01_T1",26.1300720191664,97,"Lake","New"
"40",34,"NARS_WQX-NLA06608-0090",288,18.1026300691225,"2007-06-26T12:00:00Z",290,19.6757156629199,277,29.1585703048388,37,21,68,0,229,22.7253142837905,30,7,146,18.3258488123709,108,16.67088382021,"{""type"":""Point"",""coordinates"":[-109.65346086,42.9307547272]}","00:00:00","2007-06-26",TRUE,4.357,NA,NA,4.15,NA,NA,"WQP",42.9307547272,-109.65346086,"America/Denver","2007-06-26T18:00:00Z",1,"2007-06-26T17:51:28Z","LE07_L1TP_037030_20070626_20160922_01_T1",0.142074358065923,78,"Lake","New"
